,,move,none,show,pick up,greetings,affirmative,clarify,bye,deny,find,macro avg,weighted avg,pipeline,split
1,precision,1.0,0.9166666666666661,1.0,0.8095238095238091,0.7000000000000001,0.8636363636363631,1.0,1.0,0.9047619047619041,0.85,0.9044588744588741,0.912539940218511,custom,0
1,recall,0.9500000000000001,0.846153846153846,1.0,0.85,0.875,1.0,0.9,0.555555555555555,1.0,0.85,0.8826709401709399,0.9047619047619041,custom,0
1,f1-score,0.9743589743589741,0.8799999999999991,1.0,0.829268292682926,0.777777777777777,0.9268292682926821,0.9473684210526311,0.7142857142857141,0.9500000000000001,0.85,0.8849888448450701,0.903395616132412,custom,0
2,precision,0.9523809523809521,0.9166666666666661,1.0,0.826086956521739,0.7000000000000001,1.0,1.0,0.875,0.8636363636363631,0.9444444444444441,0.9078215383650161,0.9241607419208351,custom,0
2,recall,1.0,0.846153846153846,0.9500000000000001,0.9500000000000001,0.875,0.842105263157894,0.9500000000000001,0.777777777777777,1.0,0.85,0.9041036887089511,0.9166666666666661,custom,0
2,f1-score,0.9756097560975611,0.8799999999999991,0.9743589743589741,0.883720930232558,0.777777777777777,0.914285714285714,0.9743589743589741,0.8235294117647061,0.9268292682926821,0.894736842105263,0.9025207649274211,0.9173266734533371,custom,0
3,precision,0.9500000000000001,1.0,1.0,0.8888888888888881,0.6666666666666661,0.9,0.9523809523809521,0.875,1.0,0.8571428571428571,0.9090079365079361,0.9242654006046861,custom,0
3,recall,0.9500000000000001,0.846153846153846,1.0,0.8,1.0,0.9473684210526311,1.0,0.777777777777777,0.894736842105263,0.9,0.911603688708951,0.9166666666666661,custom,0
3,f1-score,0.9500000000000001,0.9166666666666661,1.0,0.842105263157894,0.8,0.923076923076923,0.9756097560975611,0.8235294117647061,0.9444444444444441,0.8780487804878041,0.9053481245696001,0.917420317561429,custom,0
1,precision,1.0,0.9,1.0,0.826086956521739,0.7000000000000001,0.8636363636363631,1.0,1.0,0.9047619047619041,0.9444444444444441,0.9138929669364451,0.9244654471362541,custom,10
1,recall,0.9500000000000001,0.6923076923076921,1.0,0.9500000000000001,0.875,1.0,0.9500000000000001,0.6666666666666661,1.0,0.85,0.893397435897435,0.9166666666666661,custom,10
1,f1-score,0.9743589743589741,0.7826086956521731,1.0,0.883720930232558,0.777777777777777,0.9268292682926821,0.9743589743589741,0.8,0.9500000000000001,0.894736842105263,0.89643914627784,0.9154726534784331,custom,10
2,precision,0.9500000000000001,0.846153846153846,1.0,0.7916666666666661,0.7000000000000001,1.0,1.0,0.875,0.8636363636363631,0.9444444444444441,0.8970901320901321,0.914323292448292,custom,10
2,recall,0.9500000000000001,0.846153846153846,0.9500000000000001,0.9500000000000001,0.875,0.7894736842105261,0.9500000000000001,0.777777777777777,1.0,0.85,0.8938405308142151,0.9047619047619041,custom,10
2,f1-score,0.9500000000000001,0.846153846153846,0.9743589743589741,0.8636363636363631,0.777777777777777,0.8823529411764701,0.9743589743589741,0.8235294117647061,0.9268292682926821,0.894736842105263,0.8913734399625061,0.905656380935773,custom,10
3,precision,1.0,0.846153846153846,1.0,0.9,0.636363636363636,0.9473684210526311,1.0,1.0,0.9444444444444441,0.8571428571428571,0.9131473205157411,0.9296322064179201,custom,10
3,recall,0.9500000000000001,0.846153846153846,1.0,0.9,0.875,0.9473684210526311,1.0,0.777777777777777,0.894736842105263,0.9,0.9091036887089511,0.9226190476190471,custom,10
3,f1-score,0.9743589743589741,0.846153846153846,1.0,0.9,0.7368421052631571,0.9473684210526311,1.0,0.8750000000000001,0.9189189189189191,0.8780487804878041,0.9076691046235331,0.9242699488005971,custom,10
1,precision,1.0,0.8,1.0,0.7826086956521741,0.636363636363636,0.8636363636363631,1.0,1.0,0.818181818181818,0.894736842105263,0.8795527355939251,0.8928116982178761,custom,20
1,recall,0.9,0.6153846153846151,1.0,0.9,0.875,1.0,0.9,0.555555555555555,0.9473684210526311,0.85,0.8543308591992801,0.88095238095238,custom,20
1,f1-score,0.9473684210526311,0.695652173913043,1.0,0.8372093023255811,0.7368421052631571,0.9268292682926821,0.9473684210526311,0.7142857142857141,0.8780487804878041,0.871794871794871,0.855539905846812,0.8793707725172011,custom,20
